date,product,region,units_sold,revenue,cost
2024-07-18,Keyboard,West,47,2986.55,2019.49
2024-03-06,Laptop,West,38,35825.77,19966.33
2024-11-25,Mouse,South,56,2265.97,1277.05
2024-07-13,Keyboard,South,30,2025.23,1530.13
2024-07-13,Monitor,West,17,5825.32,3943.64
2025-01-18,Laptop,East,15,14546.93,11069.24
2024-11-29,Laptop,North,16,13244.78,7357.51
2024-03-19,Headphones,South,31,4033.64,2832.71
2024-04-21,Smartwatch,East,50,12238.92,8733.58
2025-05-08,Phone,South,20,12429.68,6922.5
2024-06-08,Mouse,West,46,1691.72,1200.9
2025-03-01,Headphones,North,45,6049.99,4716.45
2024-11-03,Phone,Central,51,30858.16,21410.66
2024-12-04,Keyboard,North,33,2487.04,1376.37
2024-08-03,Smartwatch,North,28,8303.93,5992.18
2025-02-28,Smartwatch,South,28,6381.54,4408.82
2024-11-29,Monitor,Central,52,18281.11,13878.16
2024-08-26,Mouse,Central,18,693.22,427.22
2025-04-23,Phone,East,57,40210.45,30263.53
2024-10-18,Mouse,East,2,81.84,52.19
2024-09-06,Headphones,East,52,5868.24,3670.63
2024-11-01,Monitor,Central,1,309.25,186.04
2024-05-03,Mouse,West,36,1606.11,1182.84
2024-11-26,Smartwatch,West,51,10914.45,6870.03
2024-07-26,Headphones,East,43,5436.29,3684.61
2024-09-28,Keyboard,West,48,3503.26,2259.56
2024-08-20,Monitor,East,17,4746.51,3534.95
2024-06-10,Phone,Central,49,37440.41,22528.5
2025-01-13,Smartwatch,East,47,12412.18,9374.38
2024-11-01,Monitor,North,54,14870.65,9092.22
2024-04-01,Monitor,North,46,14309.87,8930.28
2025-05-13,Laptop,Central,19,18709.04,10927.87
2025-03-20,Smartwatch,North,56,11960.1,7496.25
2024-09-02,Smartwatch,East,12,3563.77,2203.01
2025-03-17,Smartwatch,North,53,11565.53,7896.62
2024-10-22,Laptop,South,10,10205.1,8228.0
2024-02-13,Headphones,North,36,4827.84,3445.66
2025-02-08,Headphones,Central,25,3023.04,2024.03
2025-03-16,Mouse,East,37,1579.69,1128.85
2025-01-13,Phone,South,41,26514.75,19311.11
2024-03-21,Headphones,South,36,3785.5,2084.76
2024-08-18,Smartwatch,East,3,698.26,517.33
2024-12-25,Smartwatch,North,44,10248.68,6368.83
2025-02-09,Headphones,West,8,998.97,724.11
2025-04-10,Monitor,South,5,1306.31,998.03
2024-10-31,Monitor,West,8,2433.71,1538.36
2024-07-25,Monitor,Central,35,10739.7,6140.09
2024-01-21,Mouse,East,39,1462.7,840.55
2025-05-07,Laptop,East,37,28773.9,21701.06
2024-08-28,Smartwatch,East,12,3596.79,2401.54
2025-02-20,Smartwatch,North,31,7531.34,4820.01
2024-12-09,Phone,South,22,15308.77,10467.78
2024-12-05,Mouse,Central,3,121.1,76.89
2024-06-14,Phone,West,56,40380.26,32982.28
2024-12-02,Smartwatch,West,4,915.65,593.05
2025-01-22,Smartwatch,West,49,10633.79,6615.34
2024-03-08,Monitor,West,57,18714.03,10906.26
2025-05-13,Headphones,South,20,2502.7,1749.66
2024-02-17,Headphones,North,30,4253.3,3083.14
2024-03-19,Smartwatch,East,33,9049.38,5992.34
2024-09-04,Smartwatch,South,30,7822.07,5112.26
2025-04-16,Tablet,North,18,9075.53,7085.19
2024-06-23,Monitor,North,19,6293.47,4884.48
2024-10-23,Smartwatch,South,29,7529.15,4842.62
2024-10-09,Mouse,West,60,2310.29,1388.34
2024-12-23,Headphones,Central,25,2795.24,2122.7
2024-01-23,Keyboard,West,46,3766.44,2459.23
2024-12-05,Tablet,West,3,1207.15,978.57
2024-06-18,Phone,West,7,5067.01,3411.98
2025-01-04,Tablet,West,56,27195.17,16090.77
2024-08-28,Monitor,East,40,13109.36,9510.26
2025-03-12,Keyboard,Central,25,2071.91,1490.19
2025-03-30,Smartwatch,Central,3,799.58,490.45
2024-12-16,Monitor,South,48,12695.51,10336.06
2025-01-24,Phone,West,11,8415.33,6681.14
2024-01-24,Keyboard,North,19,1297.36,864.41
2024-05-05,Mouse,Central,44,1984.19,1182.37
2024-02-10,Mouse,Central,44,1644.35,1309.67
2024-03-14,Headphones,West,41,4619.35,2859.09
2024-01-05,Smartwatch,East,44,11454.4,6528.35
2025-04-28,Keyboard,Central,20,1503.08,998.89
2024-05-08,Smartwatch,East,13,3899.29,3043.01
2024-02-24,Headphones,West,37,4331.82,2728.55
2024-12-24,Monitor,North,54,17502.16,10923.27
2024-10-16,Laptop,Central,48,44230.52,35124.43
2024-05-26,Headphones,Central,52,6073.47,4384.36
2024-11-13,Monitor,South,41,10873.29,7822.39
2024-01-21,Monitor,West,3,947.57,708.53
2024-02-16,Monitor,East,48,14334.14,8660.9
2025-02-06,Keyboard,Central,33,2702.05,2092.0
2024-05-11,Smartwatch,East,48,13855.67,10629.28
2024-08-27,Phone,South,49,40757.84,31882.33
2025-01-05,Mouse,Central,24,846.34,555.65
2024-05-15,Phone,West,24,18236.23,13340.39
2024-10-26,Mouse,East,7,304.13,205.99
2024-11-13,Keyboard,Central,15,1130.51,815.73
2024-08-25,Monitor,West,8,2157.41,1737.77
2024-06-04,Smartwatch,North,7,1631.32,1133.99
2024-07-17,Smartwatch,East,43,12709.55,9380.29
2024-10-03,Mouse,Central,48,2120.27,1673.02
2024-12-01,Phone,West,40,27799.54,22431.75
2024-01-17,Keyboard,South,29,2041.46,1252.95
2024-07-04,Phone,East,35,28557.05,20678.25
2024-02-01,Mouse,East,13,618.21,498.42
2025-02-25,Smartwatch,North,43,9935.55,7180.06
2025-05-12,Laptop,North,51,44372.82,36251.78
2025-02-06,Headphones,North,54,7243.38,4389.0
2024-04-20,Headphones,East,50,5409.86,4290.79
2024-01-02,Monitor,South,9,2805.5,2147.89
2024-02-26,Laptop,South,1,877.85,669.69
2024-10-28,Keyboard,North,12,792.02,462.72
2024-08-03,Phone,North,31,21849.65,14153.12
2024-10-30,Phone,West,33,21426.23,15342.87
2025-01-07,Monitor,West,42,14961.36,8474.46
2024-09-02,Mouse,West,44,1562.5,1159.92
2024-08-15,Phone,North,21,15624.69,8870.67
2024-05-20,Keyboard,West,39,2827.45,1901.47
2024-11-05,Mouse,North,51,2235.07,1743.92
2024-11-29,Headphones,West,29,4039.69,2673.18
2025-02-27,Smartwatch,West,27,7461.21,4733.3
2024-06-09,Monitor,East,10,3271.16,2218.02
2024-02-16,Phone,North,28,17322.43,12982.73
2025-02-19,Tablet,Central,4,1899.47,1332.72
2024-06-17,Phone,West,23,18607.78,14962.61
2024-08-04,Laptop,East,39,33673.43,19462.3
2024-09-16,Headphones,South,43,5256.83,4093.83
2024-06-28,Keyboard,North,49,3249.92,1985.91
2024-08-07,Laptop,Central,60,58333.01,43005.27
2024-01-15,Tablet,East,45,22616.08,18066.07
2024-06-28,Laptop,South,56,45366.96,33003.69
2024-02-05,Tablet,North,6,3000.08,1824.31
2024-08-02,Smartwatch,East,11,2693.68,2006.34
2025-02-01,Phone,North,10,6335.65,4541.5
2024-12-11,Phone,East,29,21958.07,14956.27
2024-08-14,Mouse,East,14,623.97,362.36
2024-08-08,Phone,East,44,33494.08,22822.56
2024-12-07,Monitor,North,15,4447.54,3165.84
2024-01-04,Headphones,East,14,1879.2,1421.28
2024-05-28,Keyboard,North,1,71.69,47.77
2024-03-07,Mouse,Central,46,1712.19,1200.0
2024-12-08,Keyboard,North,26,2095.94,1176.71
2024-01-10,Smartwatch,North,56,13434.0,8945.79
2024-07-26,Mouse,East,8,317.36,257.34
2024-03-28,Smartwatch,East,6,1504.27,870.35
2024-08-11,Mouse,Central,6,237.24,150.36
2024-06-22,Headphones,East,50,5453.08,3750.79
2024-02-28,Headphones,East,23,3048.65,2350.86
2025-02-21,Tablet,South,7,2838.95,1712.63
2024-11-04,Tablet,North,12,6387.94,4596.42
2024-08-25,Smartwatch,Central,42,11259.72,8091.47
2025-03-18,Keyboard,South,29,1774.02,1187.52
2024-06-04,Monitor,Central,4,1167.82,665.69
2024-08-24,Smartwatch,North,4,979.06,614.37
2024-11-26,Phone,Central,39,28050.03,18931.87
2024-10-10,Laptop,West,59,60185.43,43694.39
2024-06-13,Smartwatch,Central,10,2963.01,1990.08
2025-02-19,Keyboard,North,33,2485.89,1393.51
2024-12-28,Smartwatch,West,34,8780.18,5205.43
2024-07-09,Monitor,West,27,9080.61,6658.83
2024-01-27,Keyboard,North,22,1359.94,997.06
2024-05-25,Monitor,Central,56,15164.2,8674.01
2024-12-05,Tablet,East,20,10698.24,7901.61
2024-07-19,Tablet,Central,46,24390.83,15453.72
2024-07-11,Keyboard,South,43,3298.93,2658.01
2024-12-16,Phone,West,33,22560.38,14616.9
2024-04-02,Headphones,East,50,6121.17,3741.05
2024-03-11,Tablet,North,19,9794.45,5654.41
2025-01-29,Laptop,East,57,57364.05,33579.95
2024-07-11,Tablet,South,12,6161.24,4671.43
2025-02-18,Tablet,West,3,1341.63,982.9
2024-05-01,Smartwatch,Central,19,5288.35,4027.75
2024-04-29,Headphones,East,52,7017.06,5572.06
2024-04-09,Keyboard,Central,29,2053.52,1285.66
2024-07-14,Mouse,South,53,1950.18,1390.98
2025-03-22,Monitor,North,42,12829.4,8342.03
2025-04-23,Phone,Central,55,34405.03,19701.91
2024-03-23,Monitor,West,58,17916.32,13874.09
2024-02-16,Headphones,West,57,6650.91,3705.89
2024-01-28,Mouse,Central,24,895.22,732.76
2024-07-10,Headphones,North,21,2962.99,2300.99
2024-11-28,Keyboard,South,9,543.95,433.91
2024-08-29,Tablet,West,29,13903.1,11047.15
2024-01-10,Monitor,South,54,14617.78,11750.66
2024-11-07,Mouse,North,50,1901.67,1200.54
2024-01-25,Headphones,West,41,5549.09,3736.87
2024-02-26,Smartwatch,Central,35,7487.83,5160.25
2024-05-03,Tablet,East,28,10716.9,6915.19
2024-10-19,Mouse,South,43,1864.27,1288.85
2024-07-03,Phone,Central,35,25175.33,20564.46
2024-10-10,Laptop,West,56,51133.18,36899.29
2024-07-10,Monitor,North,23,7769.28,4996.4
2025-01-10,Phone,Central,48,37458.54,21951.48
2024-06-29,Keyboard,South,54,4243.81,2866.47
2024-12-22,Smartwatch,South,52,11663.58,8669.91
2025-04-28,Smartwatch,North,19,4372.65,3338.95
2025-03-29,Laptop,East,60,51760.43,34033.54
2025-02-21,Smartwatch,East,3,835.24,502.48
2024-07-01,Laptop,East,18,14475.77,9400.06
2025-03-31,Mouse,West,58,2748.66,1763.38
2024-04-05,Smartwatch,West,24,7041.05,4859.76
2025-02-14,Phone,West,6,4202.99,3440.89
2024-04-02,Monitor,East,7,1843.85,1343.15
2024-06-05,Smartwatch,Central,46,11490.12,8459.45
2024-06-28,Smartwatch,North,47,13565.53,8752.36
2024-08-10,Monitor,North,5,1627.37,1073.54
2024-09-19,Tablet,North,10,5161.65,3783.92
2024-08-12,Laptop,South,5,4196.69,3039.22
2024-07-04,Mouse,Central,3,127.41,93.44
2025-04-30,Keyboard,East,29,2267.67,1598.61
2024-09-28,Keyboard,West,21,1583.7,977.77
2024-02-28,Laptop,South,32,29698.87,23659.8
2024-03-01,Monitor,East,46,13885.5,11372.48
2024-05-26,Smartwatch,South,8,1795.01,1023.15
2024-03-29,Smartwatch,North,52,14152.78,11014.98
2024-06-12,Keyboard,North,36,2620.2,2071.69
2025-03-11,Tablet,South,51,22411.19,13683.05
2024-04-12,Tablet,South,51,23475.73,15199.18
2024-10-20,Keyboard,West,52,4346.36,2542.79
2025-03-28,Phone,North,20,13850.98,10299.2
2024-09-02,Mouse,West,53,2228.58,1301.13
2024-06-11,Phone,West,30,22848.8,14692.21
2025-03-25,Tablet,South,28,12927.63,10140.65
2025-03-01,Phone,Central,10,6695.11,3975.09
2025-04-23,Headphones,East,34,4745.95,3694.26
2024-05-08,Headphones,Central,18,1930.63,1219.7
2024-09-30,Phone,Central,42,26725.26,21493.36
2024-03-19,Tablet,Central,47,24654.56,15807.45
2025-04-18,Laptop,North,6,4675.92,3381.59
2024-10-22,Monitor,South,50,15753.72,11293.67
2024-01-16,Smartwatch,Central,19,5104.67,3223.93
2024-05-05,Mouse,East,30,1050.65,594.85
2024-08-13,Mouse,West,30,1105.69,789.24
2024-06-09,Keyboard,East,26,1630.3,1059.77
2024-10-14,Phone,East,16,11348.57,7061.28
2024-05-06,Tablet,North,4,1712.83,1119.71
2024-11-11,Mouse,South,56,2611.41,2009.84
2025-04-23,Keyboard,South,49,3106.79,2544.19
2024-08-27,Smartwatch,East,32,6864.89,5527.7
2024-09-15,Smartwatch,South,14,3689.6,2077.75
2024-05-24,Smartwatch,Central,57,16316.21,11936.62
2024-05-26,Laptop,North,28,22601.31,14044.63
2024-07-06,Mouse,East,3,118.82,83.65
2024-04-09,Keyboard,Central,19,1164.73,799.18
2025-01-26,Monitor,Central,44,14043.02,8211.5
2024-02-19,Mouse,East,51,2438.57,1708.5
2024-07-06,Tablet,South,39,18044.79,12361.06
2024-01-24,Laptop,South,46,40015.76,27127.12
2024-08-21,Tablet,Central,58,26894.14,17173.27
2024-11-09,Keyboard,South,26,2178.02,1632.68
2024-06-02,Keyboard,Central,54,3887.35,2652.18
2024-10-15,Monitor,West,53,13607.58,8701.16
2024-02-26,Mouse,Central,20,903.09,673.56
2024-12-18,Laptop,Central,31,26307.9,19126.09
2025-05-12,Headphones,North,38,4642.8,3210.69
2025-01-04,Mouse,South,53,2307.1,1288.57
2025-04-30,Phone,South,2,1406.11,932.35
2024-07-30,Headphones,West,33,4440.11,3545.61
2025-03-22,Laptop,South,34,28230.63,18004.46
2024-12-05,Smartwatch,Central,25,5998.83,3579.86
2025-04-12,Keyboard,Central,23,1749.35,1371.96
2024-12-14,Monitor,Central,31,8530.82,5259.76
2024-10-12,Monitor,South,20,6719.47,4974.58
2024-12-19,Smartwatch,East,31,7533.63,6042.72
2025-02-11,Monitor,East,8,2521.72,1756.79
2025-04-03,Mouse,East,50,2263.23,1422.26
2024-05-27,Phone,East,60,42202.93,26133.74
2024-09-02,Headphones,South,53,6604.87,5296.55
2024-12-22,Monitor,South,7,2237.52,1585.16
2024-05-04,Laptop,Central,15,14489.29,8174.46
2024-07-30,Keyboard,West,7,533.32,313.12
2025-05-08,Tablet,West,42,22250.24,17514.67
2024-09-01,Headphones,East,21,2393.74,1354.79
2025-01-28,Phone,Central,15,10891.68,8116.93
2025-04-24,Laptop,South,27,28158.49,16823.65
2025-04-15,Laptop,West,51,46973.34,37714.16
2025-05-07,Monitor,North,1,286.33,204.08
2025-04-20,Keyboard,East,30,2511.99,1750.08
2024-09-09,Tablet,Central,30,12764.16,9807.72
2024-06-18,Tablet,West,42,17766.81,10664.95
2025-01-12,Keyboard,East,37,2812.84,1693.76
2024-11-08,Mouse,West,33,1273.5,838.25
2024-02-18,Tablet,South,31,13437.49,8290.56
2024-05-13,Mouse,South,29,1292.03,1043.43
2024-06-03,Laptop,East,42,36886.87,22641.22
2024-12-07,Phone,West,20,12682.61,9324.76
2025-04-17,Monitor,North,41,14398.94,9066.44
2024-11-10,Headphones,South,9,1098.75,739.29
2024-11-06,Keyboard,West,45,3283.03,2223.02
2024-10-02,Headphones,South,44,5882.76,4622.36
2024-02-11,Smartwatch,Central,46,11231.18,8958.62
2024-02-27,Laptop,Central,58,53605.25,37771.84
2024-03-17,Tablet,East,55,25544.96,14851.45
2024-04-15,Smartwatch,North,58,14915.15,11460.01
2024-08-20,Tablet,Central,27,12270.04,6939.8
2024-08-24,Monitor,North,26,7324.67,4034.53
2024-04-21,Phone,North,28,19023.47,10790.4
2024-01-31,Phone,West,3,1996.01,1194.8
2024-03-10,Mouse,East,58,2282.57,1791.36
2025-04-09,Mouse,West,6,261.35,190.44
2024-10-03,Tablet,East,8,3284.88,2283.19
2024-09-27,Tablet,South,54,20684.54,11503.47
2024-06-01,Smartwatch,Central,28,7253.24,5601.73
2024-05-06,Smartwatch,East,10,2366.19,1900.29
2025-01-06,Phone,North,52,39350.92,28176.41
2025-04-24,Laptop,South,14,11006.75,7818.81
2024-08-16,Laptop,South,48,37388.86,24995.2
2024-10-03,Headphones,North,9,1108.47,696.23
2025-02-21,Keyboard,Central,39,3058.66,2358.11
2024-05-01,Monitor,South,43,13318.45,8812.3
2024-05-20,Laptop,Central,38,39600.18,31526.73
2024-11-16,Mouse,Central,32,1109.0,713.08
2024-11-25,Mouse,Central,21,918.71,606.56
2024-06-02,Mouse,South,49,2035.02,1251.66
2024-04-25,Monitor,South,52,15788.12,8929.1
2024-07-30,Mouse,Central,34,1219.83,750.89
2024-04-14,Keyboard,North,60,4231.19,2751.08
2024-10-01,Headphones,North,18,2121.14,1513.1
2024-01-21,Phone,South,52,40644.01,30302.65
2024-10-13,Headphones,West,14,1939.25,1240.93
2025-05-04,Laptop,South,60,49491.45,37128.4
2025-01-17,Smartwatch,South,45,11942.33,7227.72
2025-04-13,Headphones,Central,21,2826.0,1844.75
2024-09-30,Keyboard,East,17,1161.29,915.51
2024-08-26,Phone,West,49,39235.97,31265.94
2024-07-08,Keyboard,West,3,219.85,134.05
2024-03-15,Laptop,East,36,38140.16,26941.01
2024-08-01,Monitor,South,13,3765.27,2457.05
2025-03-02,Headphones,West,36,4661.77,3425.97
2024-05-11,Smartwatch,West,30,6816.61,5212.28
2024-03-27,Tablet,Central,32,13167.6,10404.1
2024-11-24,Laptop,Central,3,3087.92,1760.33
2025-02-22,Laptop,North,27,21824.37,15719.86
2024-02-04,Tablet,North,14,6470.14,4210.54
2024-11-12,Smartwatch,West,2,426.16,297.86
2024-01-07,Laptop,Central,47,40022.54,32575.12
2024-01-09,Mouse,South,7,327.97,226.82
2024-05-03,Headphones,Central,34,3828.45,2472.03
2025-02-11,Mouse,North,24,1138.32,767.15
2024-05-04,Headphones,East,44,6018.26,3441.04
2025-03-15,Laptop,North,26,22996.17,16079.6
2024-01-29,Laptop,South,6,5534.73,3692.53
2025-02-05,Keyboard,Central,55,4584.75,3629.26
2025-04-15,Laptop,South,14,14684.61,10821.35
2024-10-17,Smartwatch,East,3,880.09,646.69
2024-05-23,Laptop,South,60,61973.08,34347.2
2024-04-16,Tablet,West,60,23677.06,14060.9
2024-05-03,Mouse,Central,22,866.22,649.43
2025-02-08,Phone,Central,48,40018.04,22590.11
2024-08-11,Headphones,North,22,2803.18,2006.36
2024-10-31,Mouse,East,2,85.76,65.31
2024-08-18,Smartwatch,South,23,6000.49,3908.51
2024-04-05,Mouse,North,50,2133.03,1632.78
2024-12-31,Phone,North,18,11390.11,8453.2
2024-11-20,Tablet,West,21,9225.52,5302.0
2025-04-27,Monitor,West,24,8038.59,4643.11
2024-02-14,Tablet,West,29,13636.53,9386.83
2024-02-22,Laptop,North,23,21610.32,15368.6
2025-02-05,Keyboard,West,1,66.65,43.64
2024-02-13,Headphones,Central,34,3710.16,2421.98
2024-03-12,Monitor,East,18,5522.0,3131.43
2024-08-10,Monitor,West,20,6116.89,3491.33
2024-05-08,Headphones,West,39,4988.1,3360.1
2024-03-10,Monitor,North,26,7536.95,5407.4
2025-02-15,Keyboard,West,22,1541.1,1190.28
2024-11-29,Tablet,East,21,10027.62,7397.67
2024-09-02,Keyboard,South,26,2164.08,1360.54
2024-12-21,Smartwatch,Central,51,11919.32,7765.85
2025-02-22,Mouse,East,8,376.39,227.32
2024-10-06,Tablet,Central,2,1065.2,718.62
2024-12-28,Headphones,West,52,5940.27,4378.37
2025-02-23,Mouse,West,9,385.8,237.4
2024-12-03,Tablet,West,51,22535.68,15127.03
2024-11-02,Smartwatch,Central,26,6740.69,5388.13
2025-03-21,Mouse,Central,3,135.21,87.49
2025-04-03,Phone,North,50,32790.83,23919.84
2024-03-26,Laptop,Central,42,41092.95,27034.92
2025-01-20,Keyboard,West,7,418.31,259.29
2024-09-18,Headphones,West,24,2842.26,2155.95
2024-10-28,Tablet,East,2,917.07,577.54
2025-04-16,Phone,North,54,44575.15,26221.43
2024-06-08,Keyboard,West,51,3292.98,2240.51
2024-08-31,Phone,West,47,35988.23,22892.31
2024-06-02,Laptop,North,2,2064.98,1497.01
2024-12-12,Tablet,South,34,13939.2,8269.24
2024-10-13,Mouse,West,15,677.53,487.85
2024-04-05,Mouse,West,2,88.65,69.89
2024-08-18,Mouse,West,1,43.87,26.57
2025-01-20,Phone,Central,7,5536.15,3847.4
2024-07-06,Keyboard,South,30,1868.76,1366.23
2024-09-07,Keyboard,Central,25,1861.93,1319.16
2024-06-27,Keyboard,West,40,2549.08,1865.59
2025-02-13,Monitor,Central,38,10028.16,5878.17
2024-03-01,Headphones,East,8,877.5,646.92
2024-09-18,Mouse,West,39,1401.28,915.88
2024-04-05,Smartwatch,Central,45,13181.7,10562.33
2024-03-29,Tablet,West,19,7687.34,4880.97
2024-08-18,Laptop,East,1,917.65,553.05
2024-07-15,Smartwatch,West,44,11243.14,8339.47
2024-08-15,Smartwatch,South,6,1571.83,1202.27
2024-04-22,Monitor,North,18,5014.95,3149.09
